 Year,   m,     CatRec, CatFull,  Wrec,   Wfull, Srat ,  Urec,    Ufull
1,0.2,83.8,2229.8,0.084,1.164,1,2.884,9.301
2,0.2,79.1,1861.6,0.084,1.156,1,2.847,7.824
3,0.2,28.3,1557.1,0.087,1.117,1,1.089,6.914
4,0.2,55.1,1334.6,0.083,1.255,1,1.923,5.105
5,0.2,52.8,1133.2,0.084,1.187,1,1.794,4.455
6,0.2,48.3,923.2,0.084,1.081,1,1.598,4.005
7,0.2,39.6,793.3,0.084,1.02,1,1.387,3.673
8,0.2,41,707.6,0.084,1.02,1,1.518,3.359
9,0.2,23.8,638.8,0.085,0.994,1,0.961,3.278
10,0.2,38,575.4,0.083,1.074,1,1.566,2.852
11,0.2,35.3,534.8,0.084,0.998,1,1.56,3.024
12,0.2,13.4,497.4,0.087,0.957,1,0.67,3.196
13,0.2,16.5,435.5,0.083,1.129,1,0.937,2.69
14,0.2,42.6,460.5,0.083,1.202,1,2.232,2.541
15,0.2,41.1,476.6,0.084,0.942,1,2.058,3.393
16,0.2,36.1,569.2,0.084,0.883,1,1.67,3.941
17,0.2,36.8,687.9,0.084,0.946,1,1.625,4.004
18,0.2,43.6,756.1,0.084,1.005,1,1.817,3.914
19,0.2,35.9,769,0.085,0.997,1,1.435,3.923
20,0.2,42.7,750.6,0.084,1.03,1,1.629,3.627
